PlayerName,Position,OverallRating,PaceRating,ShootRating,PassRating,DribRating,DefenseRating,PhysicalRating
Pedri,CM,86,77,69,82,88,70,74
Grace Geyoro,CM,86,79,72,82,83,83,79
Jonathan Tah,CB,86,71,38,60,62,86,84
Karim Benzema,ST,86,77,85,81,84,38,77
Bremer,CB,86,82,50,58,66,86,85
Joshua Kimmich,RB,86,69,74,88,84,81,77
Chloe Kelly,RW,86,88,79,85,85,43,68
Unai Simón,GK,86,85,81,78,86,49,85
Lindsey Horan,CM,86,77,84,86,84,63,79
Lea Schüller,ST,86,87,83,70,82,33,74
Manuel Neuer,GK,86,83,81,90,83,49,88
Jill Roord,CAM,86,75,84,84,85,52,73
Kim Little,CM,86,76,78,83,88,62,66
Hakan Çalhanoğlu,CDM,86,71,80,87,85,79,76
Khvicha Kvaratskhelia,LW,85,86,79,80,86,41,71
David Alaba,CB,85,79,71,83,80,85,77
Ronald Araujo,CB,85,82,53,64,62,85,84
Ona Batlle,LB,85,80,50,78,80,80,71
Julian Brandt,CAM,85,71,79,85,86,50,70
Millie Bright,CB,85,57,50,69,58,86,87
Lucy Bronze,RB,85,71,68,80,79,84,87
Rachel Daly,ST,85,77,85,76,82,64,76
Caitlin Foord,LW,85,87,78,80,83,45,70
Merle Frohms,GK,85,85,82,76,84,51,86
Éder Militão,CB,85,85,50,69,71,85,82
Cristiana Girelli,ST,85,80,85,70,80,46,78
Bruno Guimarães,CDM,85,68,75,83,84,79,83
Kathrin Hendrich,CB,85,73,44,70,73,86,76
Svenja Huth,RM,85,82,71,82,85,52,68
Alexander Isak,ST,85,85,84,73,86,39,74
N'Golo Kanté,CDM,85,76,65,73,80,85,78
Jules Koundé,RB,85,84,45,70,75,86,80
Ashley Lawrence,RB,85,84,67,82,80,82,77
Eugénie Le Sommer,ST,85,70,85,79,85,43,74
Vitinha,CM,85,72,77,84,87,73,68
James Maddison,CAM,85,71,81,86,86,54,63
Riyad Mahrez,RM,85,79,81,81,88,39,62
Giorgi Mamardashvili,GK,85,86,83,72,85,48,85
Clara Mateo,RM,85,84,83,80,84,59,73
Katie McCabe,LB,85,80,74,80,80,81,82
Mikel Merino,CM,85,72,79,82,82,83,82
Vivianne Miedema,ST,85,82,84,70,85,32,80
Sergej Milinković-Savić,CM,85,64,80,81,82,78,88
Chiamaka Nnadozie,GK,85,84,83,80,86,63,84
Loïs Openda,ST,85,93,84,69,81,31,79
Asisat Oshoala,ST,85,91,84,78,85,50,85
Palhinha,CDM,85,52,68,72,74,85,90
Cole Palmer,RM,85,75,82,83,86,50,66
Andrew Robertson,LB,85,78,61,82,79,81,78
Alessia Russo,ST,85,82,83,69,84,39,72
Leroy Sané,RM,85,90,83,80,86,37,70
Becky Sauerbrunn,CB,85,61,44,61,69,87,83
Nico Schlotterbeck,CB,85,77,59,70,73,85,82
Kailen Sheridan,GK,85,85,82,80,85,41,84
John Stones,CB,85,69,58,75,79,85,77
Aurélien Tchouaméni,CDM,85,73,69,79,78,82,82
Diogo Jota,ST,85,82,82,75,84,57,79
Sandro Tonali,CDM,85,84,74,81,81,82,82
Keira Walsh,CDM,85,64,46,81,79,79,74
Ollie Watkins,ST,85,85,83,73,80,50,83
Nico Williams,LM,85,93,75,78,86,36,65
Leah Williamson,CB,85,74,45,73,72,86,76
Francesco Acerbi,CB,84,60,50,64,65,86,80
Manuel Akanji,CB,84,78,48,71,75,85,82
Nathan Aké,CB,84,76,53,72,75,84,77
Julián Álvarez,ST,84,85,84,80,85,57,78
Iago Aspas,ST,84,81,86,79,86,35,65
Sandy Baltimore,RM,84,84,72,85,84,64,69
Ann-Katrin Berger,GK,84,85,84,80,84,45,81
Hannah Blundell,LB,84,70,54,72,73,85,72
Lisa Boattin,LB,84,75,66,81,81,81,85
Yassine Bounou,GK,84,81,82,77,86,38,83
Kadeisha Buchanan,CB,84,67,44,58,65,86,84
Mariona,LW,84,77,84,84,85,57,77
Jane Campbell,GK,84,84,83,85,83,40,85
Catarina Macario,CAM,84,83,82,80,87,57,72
Arianna Caruso,CM,84,74,80,82,87,71,72
Tabitha Chawinga,ST,84,94,81,70,84,36,78
Federico Chiesa,RW,84,93,83,76,86,52,75
Kingsley Coman,LM,84,89,75,79,87,30,62
Rúben Neves,CDM,84,57,75,86,77,77,77
Sara Däbritz,CM,84,76,81,84,87,74,72
Linda Dallmann,RM,84,77,78,81,87,46,59
Matthijs de Ligt,CB,84,62,61,63,67,85,83
Rodrigo De Paul,CM,84,76,77,83,82,76,82
Raphinha,RW,84,91,79,78,86,53,73
Luis Díaz,LW,84,90,80,75,87,39,75
Federico Dimarco,LB,84,80,77,84,83,78,81
Sara Doorsoun,CB,84,77,60,74,76,85,83
Artem Dovbyk,ST,84,84,85,69,79,34,81
Crystal Dunn,CM,84,87,79,83,85,77,80
Ingrid Syrstad Engen,CB,84,72,61,81,77,86,80
Jeremie Frimpong,RM,84,93,62,75,86,75,69
Aleix García,CM,84,67,77,85,84,76,68
Manuela Giugliano,CM,84,81,80,84,86,72,74
Jack Grealish,LW,84,76,76,82,88,53,73
Alex Greenwood,CB,84,71,65,80,74,85,82
Serhou Guirassy,ST,84,69,86,71,80,39,79
Viktor Gyökeres,ST,84,90,83,67,80,36,91
Achraf Hakimi,RB,84,91,76,80,80,75,78
Pernille Harder,CAM,84,81,78,81,88,27,77
Yui Hasegawa,CDM,84,78,71,84,86,79,63
Lukáš Hrádecký,GK,84,85,80,69,87,40,82
Amanda Ilestedt,CB,84,68,46,65,63,87,78
Dominique Janssen,CB,84,78,59,75,75,83,83
Fran Kirby,CAM,84,86,83,78,88,42,59
Kalidou Koulibaly,CB,84,76,48,64,67,85,84
Amel Majri,LW,84,78,76,85,88,79,74
Sadio Mané,LM,84,83,81,78,86,44,75
Lisandro Martínez,CB,84,71,59,78,79,85,81
Griedge Mbock,CB,84,63,55,66,66,85,83
Diogo Costa,GK,84,83,78,82,86,35,83
Ferland Mendy,LB,84,89,64,76,76,81,85
Christopher Nkunku,CAM,84,81,81,81,86,60,67
Dani Olmo,CAM,84,73,77,82,87,50,57
Exequiel Palacios,CM,84,69,76,79,82,82,73
Benjamin Pavard,CB,84,75,67,75,75,86,81
Lara Prašnikar,ST,84,77,84,69,83,44,79
Alba Redondo,ST,84,84,85,70,84,26,64
Álex Remiro,GK,84,84,79,80,86,42,86
Trinity Rodman,RM,84,94,82,78,83,43,83
Cristian Romero,CB,84,68,46,59,66,85,81
Marcel Sabitzer,CM,84,76,84,81,82,75,79
Georgia Stanway,CDM,84,80,78,80,86,76,75
Ella Toone,CAM,84,81,79,78,86,51,65
Casemiro,CDM,84,38,74,77,69,82,82
Guglielmo Vicario,GK,84,84,80,79,87,52,84
Marta,CAM,84,72,82,85,88,44,74
Glódís Perla Viggósdóttir,CB,84,73,54,68,61,86,81
Dušan Vlahović,ST,84,78,84,69,79,29,83
Kyle Walker,RB,84,89,64,77,78,79,81
Caroline Weir,CAM,84,72,83,84,84,73,69
Benjamin White,RB,84,73,35,77,78,83,80
Manuela Zinsberger,GK,84,84,77,78,85,46,85
Marcos Acuña,LB,83,74,74,82,82,80,84
Rasheedat Ajibade,LW,83,91,83,74,84,37,76
Robert Andrich,CDM,83,54,77,76,73,83,83
Lineth Beerensteyn,LW,83,89,80,72,86,52,75
Ismaël Bennacer,CDM,83,77,73,82,85,78,75
Domenico Berardi,RW,83,79,81,78,85,36,70
Mathilde Bourdieu,ST,83,80,84,71,82,36,76
Klara Bühl,LM,83,83,85,77,83,34,71
Eduardo Camavinga,CM,83,80,67,81,84,78,80
Olga Carmona,LB,83,89,74,77,80,78,73
Ellie Carpenter,RB,83,81,51,78,77,81,79
Yannick Carrasco,LW,83,88,81,80,85,59,67
Steph Catley,LB,83,85,66,80,78,78,76
Andreas Christensen,CB,83,67,32,68,71,85,76
Cata Coll,GK,83,81,80,75,89,53,82
Erin Cuthbert,CM,83,79,80,82,82,75,69
Stefan de Vrij,CB,83,62,41,65,69,85,75
Ángel Di María,RM,83,76,80,85,88,48,66
Moussa Diaby,RM,83,95,75,74,86,43,53
Melchie Dumornay,ST,83,92,83,78,85,59,69
Damaris Egurrola,CM,83,61,68,82,79,80,82
Youssef En-Nesyri,ST,83,82,82,63,77,36,80
Magdalena Eriksson,CB,83,63,46,72,66,85,81
Rafa,CAM,83,93,77,77,86,50,54
Jess Fishlock,CM,83,75,81,80,82,74,72
Laura Freigang,CAM,83,83,84,73,82,26,77
Cody Gakpo,ST,83,82,83,78,83,48,75
Leah Galton,LM,83,73,82,82,82,62,79
Vanessa Gilles,CB,83,60,38,53,53,86,82
José María Giménez,CB,83,71,46,58,61,85,82
Olivier Giroud,ST,83,45,84,74,75,42,81
Leon Goretzka,CM,83,70,80,80,81,80,85
Joško Gvardiol,LB,83,79,69,74,78,83,83
Giulia Gwinn,RB,83,82,61,77,84,80,69
Kai Havertz,ST,83,77,81,80,82,49,72
Lucas Hernández,CB,83,74,54,72,71,84,78
Mauro Icardi,ST,83,68,83,71,76,40,75
Kim Min Jae,CB,83,76,33,57,63,85,83
Aubrey Kingsbury,GK,83,84,82,70,84,41,83
Ibrahima Konaté,CB,83,75,34,59,68,83,84
Teun Koopmeiners,CM,83,66,78,83,78,75,78
Mateo Kovačić,CM,83,69,67,82,87,71,70
Saki Kumagai,CM,83,51,70,77,80,85,78
Racheal Kundananji,LW,83,91,82,73,85,42,87
Konrad Laimer,CDM,83,80,69,77,77,82,78
Aymeric Laporte,CB,83,55,50,74,70,85,76
Robin Le Normand,CB,83,62,26,54,60,84,79
Elena Linari,CB,83,72,43,63,68,83,80
Marcos Llorente,RM,83,89,79,78,80,79,81
Manuel Locatelli,CDM,83,64,70,80,78,79,80
Donyell Malen,RM,83,89,81,74,85,35,72
Lieke Martens van Leer,LW,83,73,83,82,87,44,71
Gabriel Martinelli,LW,83,89,78,75,85,46,72
Henrikh Mkhitaryan,CM,83,78,79,82,84,72,77
Morata,ST,83,82,81,73,80,31,79
Gerard Moreno,ST,83,77,85,77,81,46,72
Alyssa Naeher,GK,83,85,81,83,82,46,87
Yuki Nagasato,CM,83,79,80,81,85,66,73
Katharina Naschenweng,LB,83,79,56,77,79,82,74
Ashleigh Neville,LB,83,76,70,77,77,85,83
André Onana,GK,83,83,75,87,86,61,79
Willi Orban,CB,83,58,36,56,56,85,78
Gavi,CM,83,76,66,78,85,68,70
Parejo,CM,83,52,80,88,78,74,69
Lorenzo Pellegrini,CAM,83,79,78,83,83,74,78
Pedro Gonçalves,LW,83,78,82,84,84,63,68
Constance Picaud,GK,83,82,79,76,86,47,82
Jordan Pickford,GK,83,83,78,88,87,53,80
Claudia Pina,LW,83,73,83,82,84,45,69
Nick Pope,GK,83,82,82,75,85,49,82
Pedro Porro,RB,83,82,73,80,81,78,77
Ivan Provedel,GK,83,84,79,80,85,42,84
Christian Pulisic,RW,83,88,82,78,86,37,63
Mayra Ramírez,ST,83,90,83,75,85,33,86
David Raya,GK,83,82,81,86,82,57,81
Koke,CDM,83,69,72,84,79,77,78
Guido Rodríguez,CDM,83,51,58,72,70,85,80
Alessio Romagnoli,CB,83,64,40,56,69,85,79
Ashley Sanchez,CAM,83,80,80,79,84,38,70
Ouleymata Sarr,ST,83,90,79,77,83,45,78
Almuth Schult,GK,83,82,81,82,84,38,85
Xavi Simons,CAM,83,81,77,80,86,61,71
Christine Sinclair,ST,83,65,86,83,81,44,82
Douglas Luiz,CM,83,66,78,85,80,75,76
Sherida Spitse,CDM,83,66,76,85,73,79,80
Hina Sugita,CM,83,73,79,82,83,73,67
Dušan Tadić,LM,83,64,79,85,81,43,78
Edmond Tapsoba,CB,83,75,54,68,70,85,79
Nuno Mendes,LB,83,89,58,76,82,78,76
Gaëtane Thiney,CAM,83,56,81,84,83,50,72
Marcus Thuram,ST,83,87,81,77,82,50,84
Fikayo Tomori,CB,83,84,40,60,68,85,80
Lucas Torreira,CDM,83,76,69,78,81,81,81
Kieran Trippier,RB,83,67,65,85,78,81,72
Leandro Trossard,LW,83,82,81,80,85,30,61
Viktor Tsygankov,RM,83,85,80,81,82,46,62
Lia Wälti,CDM,83,80,62,77,83,81,76
Lynn Williams,LW,83,92,82,76,82,53,75
Mattia Zaccagni,LW,83,87,77,75,88,57,66
Duván Zapata,ST,83,73,82,64,78,35,88
Isco,CAM,82,66,74,82,83,59,59
Joelinton,CM,82,76,72,76,82,81,89
Pepê,CAM,82,87,74,75,85,62,62
Pierre-Emerick Aubameyang,ST,82,84,83,72,78,35,63
Ramona Bachmann,LM,82,72,81,79,83,53,77
Leon Bailey,RM,82,90,78,77,86,38,62
Oliver Baumann,GK,82,81,80,78,83,39,79
Luana,CM,82,54,73,81,82,68,66
Bella Bixby,GK,82,83,79,74,87,42,80
Stina Blackstenius,ST,82,83,83,62,81,39,75
Barbara Bonansea,RW,82,79,80,76,84,38,74
Victor Boniface,ST,82,73,83,66,80,38,82
Sven Botman,CB,82,60,37,63,65,83,83
Jarrod Bowen,RM,82,77,81,76,81,46,70
Marcelo Brozović,CDM,82,66,74,79,80,80,80
Annaïg Butel,CB,82,64,42,65,65,84,78
Moisés Caicedo,CDM,82,75,63,75,78,79,78
Emre Can,CDM,82,77,78,74,76,82,86
Marco Carnesecchi,GK,82,84,79,71,85,30,83
Rafaelle,CB,82,61,39,68,65,83,80
Koen Casteels,GK,82,82,79,74,85,45,83
Lucas Paquetá,LM,82,72,77,79,85,69,79
Daphne Corboz,CDM,82,65,76,83,82,75,77
Ángel Correa,ST,82,85,84,77,86,50,75
Marc Cucurella,LB,82,75,60,80,80,78,76
Antônia Silva,RB,82,81,48,73,80,80,81
Danilo,CB,82,76,67,74,74,84,77
Otávio,CAM,82,78,71,81,85,67,74
Kenza Dali,CM,82,72,79,82,85,68,71
Diogo Dalot,RB,82,85,63,77,80,79,79
Sergi Darder,CM,82,79,78,82,83,74,77
Alphonso Davies,LB,82,95,66,77,84,72,76
Athenea,RW,82,85,78,75,83,24,72
Giovanni Di Lorenzo,RB,82,83,67,73,76,79,80
Brahim,CAM,82,85,74,78,85,31,56
Vanessa DiBernardo,CM,82,75,76,80,84,65,73
Denzel Dumfries,RB,82,83,66,73,74,78,88
Edin Džeko,ST,82,57,82,73,76,45,76
Bethany England,ST,82,66,85,67,77,40,72
Enzo Fernández,CM,82,69,73,82,80,73,77
Nacho Fernández,CB,82,73,37,68,71,82,79
Paula Fernández,CM,82,77,74,80,79,80,78
Gabriel Jesus,ST,82,83,80,75,88,39,77
Jorginho,CDM,82,46,67,83,80,73,71
Adrianna Franch,GK,82,81,80,76,82,39,84
Pau Torres,CB,82,70,41,77,70,83,79
Niclas Füllkrug,ST,82,63,84,71,75,43,81
Gabriela García,CDM,82,71,82,79,80,78,86
Gayà,LB,82,81,61,77,79,78,74
Paulo Gazzaniga,GK,82,82,80,83,81,57,82
Valentina Giacinti,ST,82,73,81,68,79,29,72
Matthias Ginter,CB,82,54,59,71,66,85,75
Serge Gnabry,RM,82,80,83,78,84,43,66
Anthony Gordon,LW,82,91,78,76,81,49,71
Théa Gréboval,CB,82,64,60,72,65,83,83
Giada Greggi,CM,82,84,71,72,83,75,72
Raphaël Guerreiro,LB,82,63,78,85,88,76,56
Péter Gulácsi,GK,82,82,82,75,81,43,83
Emilie Haavi,LW,82,88,77,80,83,64,69
Chantal Hagel,CM,82,57,79,78,80,73,81
Ashley Hatch,ST,82,70,84,73,81,47,69
Marina Hegering,CB,82,62,51,64,71,83,78
Fabinho,CDM,82,58,69,78,77,80,82
Yangel Herrera,CDM,82,64,77,76,78,80,81
Jonas Hofmann,CAM,82,73,79,81,81,64,72
Sofia Huerta,RB,82,80,57,75,78,77,77
Ciro Immobile,ST,82,82,83,67,78,39,73
Reece James,RB,82,78,72,83,82,82,82
Ji So Yun,CAM,82,73,77,81,83,63,60
Sveindís Jane Jónsdóttir,RW,82,92,73,76,81,46,71
Boubacar Kamara,CDM,82,66,54,74,75,83,80
Franck Yannick Kessié,CDM,82,79,77,74,79,80,88
Meghan Klingenberg,LB,82,77,54,74,78,82,79
Randal Kolo Muani,ST,82,90,80,71,81,38,67
Filip Kostić,LM,82,85,76,81,81,70,80
Mohammed Kudus,RM,82,90,77,73,86,60,75
Dejan Kulusevski,RM,82,75,77,80,83,57,80
Alexandre Lacazette,ST,82,70,84,76,83,44,75
Jeremías Conan Ledesma,GK,82,82,79,75,83,46,81
Bernd Leno,GK,82,83,79,76,84,53,82
Stanislav Lobotka,CM,82,72,69,80,81,75,75
Sydney Lohmann,RM,82,74,79,79,82,70,82
Ademola Lookman,ST,82,84,81,71,86,31,66
Romelu Lukaku,ST,82,79,82,73,74,38,82
Frida Maanum,CM,82,66,81,81,80,72,65
Hailie Mace,RB,82,76,60,75,74,82,74
Melvine Malard,LW,82,81,80,78,84,41,66
Gianluca Mancini,CB,82,71,45,56,64,83,85
John McGinn,CM,82,68,77,80,82,78,85
Janina Minge,CDM,82,70,80,79,81,77,80
Aleksandar Mitrović,ST,82,64,82,62,73,28,88
Nahuel Molina,RB,82,85,67,75,78,78,71
Savinho,LW,82,88,72,77,84,30,53
Thomas Müller,CAM,82,57,82,83,79,55,68
Casey Murphy,GK,82,84,80,74,82,40,86
Darwin Núñez,ST,82,90,80,72,78,46,86
Michael Olise,RM,82,80,77,82,84,53,56
Leila Ouahabi,LB,82,73,52,71,72,81,74
Oyarzabal,ST,82,77,83,81,82,42,63
Nikita Parris,RM,82,88,75,78,82,44,65
Thomas Partey,CDM,82,62,71,80,77,79,82
Tanja Pawollek,CM,82,51,76,77,78,78,81
Ève Périsset,RB,82,76,52,79,76,79,72
Pauline Peyraud-Magnin,GK,82,80,80,82,83,47,82
Felicitas Rauch,LB,82,80,57,72,76,80,76
Tijjani Reijnders,CM,82,80,76,80,84,73,74
Misa,GK,82,84,77,77,80,61,84
Fabián Ruiz,CM,82,54,76,80,80,75,72
Cecilia Salvai,CB,82,73,49,70,67,82,83
Brice Samba,GK,82,79,83,80,84,53,81
Sancet,CAM,82,73,77,80,84,70,82
Jadon Sancho,LM,82,79,69,78,89,32,50
Fabian Schär,CB,82,51,68,77,74,84,79
Patrik Schick,ST,82,74,81,71,81,37,76
Sophie Schmidt,CM,82,49,75,77,78,80,73
Olivia Schough,LM,82,79,80,78,81,41,73
Desiree Scott,CDM,82,61,54,70,75,82,79
Tabea Sellner,RM,82,80,80,80,81,28,69
Luke Shaw,LB,82,75,57,82,78,81,78
Malcom,CAM,82,84,79,79,84,43,72
Chris Smalling,CB,82,54,47,58,61,85,79
Emily Sonnett,CB,82,80,57,76,73,83,84
Alexander Sørloth,ST,82,79,82,70,76,36,85
Ángela Sosa,CAM,82,77,83,84,84,64,74
Anderson Talisca,RM,82,79,84,78,83,53,75
Luis Suárez,ST,82,64,85,78,77,41,75
Niklas Süle,CB,82,70,51,67,64,83,79
Kevin Trapp,GK,82,82,80,76,84,46,79
Destiny Udogie,LB,82,88,65,74,80,78,80
Dayot Upamecano,CB,82,81,45,63,73,81,85
Daniëlle van de Donk,CM,82,72,76,80,86,66,73
Micky van de Ven,CB,82,88,47,64,71,83,81
Emily van Egmond,CDM,82,59,61,78,73,82,84
Manuela Vanegas,CB,82,80,63,73,71,82,83
Raphaël Varane,CB,82,73,49,64,69,83,77
Iñaki Williams,RM,82,94,81,72,80,45,84
Luciano Acosta,CAM,81,79,73,76,85,46,56
Edson Álvarez,CDM,81,66,58,69,72,83,87
Yeray,CB,81,64,49,70,65,83,76
Waldemar Anton,CB,81,69,46,65,67,81,83
Nicole Anyomi,ST,81,89,76,73,84,57,81
Alphonse Areola,GK,81,82,77,74,83,55,80
Marco Asensio,RW,81,76,79,81,83,43,63
Viviane Asseyi,ST,81,87,79,77,81,50,71
Balde,LB,81,91,48,73,78,75,64
Leire Baños,CDM,81,76,76,79,79,78,82
Lauren Barnes,CB,81,76,53,75,77,82,81
Rodrigo Bentancur,CM,81,67,68,80,82,79,76
Álex Berenguer,LM,81,85,75,75,83,64,68
Jule Brand,LW,81,91,73,74,81,56,72
Sergio Busquets,CDM,81,37,61,77,78,78,73
Niamh Charles,LB,81,81,65,80,76,78,70
Danielle Colaprico,CDM,81,79,76,79,81,76,71
Bryan Cristante,CM,81,55,74,78,75,78,84
Ricardo Horta,CAM,81,80,80,80,81,43,70
Geyse,ST,81,92,79,74,85,34,87
Rui Silva,GK,81,82,76,77,84,31,81
Matteo Darmian,RB,81,72,62,75,76,80,75
Jonathan David,ST,81,82,81,71,78,34,75
Elisa De Almeida,CB,81,72,34,65,61,83,73
Richarlison,ST,81,77,80,73,80,53,78
Luuk de Jong,ST,81,44,80,73,73,57,80
Fred,CDM,81,75,71,79,82,75,78
Océane Deslandes,CB,81,68,55,78,72,82,79
Paulina Dudek,CB,81,62,46,62,68,85,72
Julie Dufour,LM,81,86,76,78,82,51,61
Nerea Eizagirre,LW,81,79,83,79,85,63,71
Abby Erceg,CB,81,47,39,59,64,84,80
Eberechi Eze,CAM,81,78,81,78,84,49,69
Youssouf Fofana,CDM,81,69,68,74,77,78,80
Emily Fox,LB,81,69,47,69,78,79,73
Davide Frattesi,CM,81,80,74,78,81,71,71
Remo Freuler,CDM,81,60,72,76,77,77,74
Conor Gallagher,CM,81,73,75,78,78,77,81
Naomi Girma,CB,81,65,51,66,72,82,74
Alexandr Golovin,LM,81,77,77,80,83,61,68
Esther,ST,81,77,82,69,79,31,72
Pascal Groß,CDM,81,50,77,85,80,73,74
Marc Guéhi,CB,81,72,39,65,72,82,77
Dávid Hancko,CB,81,78,66,72,74,81,80
Benjamin Henrichs,RB,81,74,54,76,78,79,74
Rachel Hill,RM,81,81,77,79,78,48,62
Piero Hincapié,CB,81,78,40,64,72,81,80
Sofia Jakobsson,LM,81,81,77,78,79,54,72
Synne Jensen,RW,81,85,82,78,81,28,79
Ferdi Kadıoğlu,LB,81,88,65,75,85,75,76
Daichi Kamada,CAM,81,79,73,80,83,54,63
Ewelina Kamczyk,CAM,81,78,76,79,83,42,65
Hasret Kayikci,CM,81,84,76,76,85,61,74
Presnel Kimpembe,CB,81,74,43,67,69,81,82
Orkun Kökçü,CM,81,72,76,83,80,68,79
Ezri Konsa,CB,81,76,48,71,76,83,78
Odilon Kossounou,CB,81,80,32,64,67,82,80
Andrej Kramarić,ST,81,71,83,79,84,33,73
Takefusa Kubo,RW,81,84,76,76,83,40,60
Lo'eau LaBonta,CM,81,84,79,78,79,73,78
Maya Le Tissier,CB,81,76,58,76,72,82,79
Alisha Lehmann,RW,81,79,76,74,82,57,70
Sydney Leroux,ST,81,75,82,77,77,44,79
Melanie Leupolz,CDM,81,79,75,78,83,79,73
Ruben Loftus-Cheek,CM,81,81,76,79,82,77,83
Andriy Lunin,GK,81,80,78,77,82,37,80
Dzsenifer Marozsán,CM,81,71,81,85,84,65,72
Iñigo Martínez,CB,81,71,56,67,61,81,80
Noussair Mazraoui,RB,81,78,66,77,83,77,71
Carmen Menayo,CB,81,78,47,68,72,81,76
Brais Méndez,CM,81,71,80,82,81,65,73
Alex Meret,GK,81,80,78,72,84,44,83
Tatumn Milazzo,LB,81,65,42,68,70,83,80
Arkadiusz Milik,ST,81,56,82,72,77,40,72
Kaoru Mitoma,LM,81,84,73,75,85,57,65
Fernando Muslera,GK,81,81,81,71,80,35,82
